epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0359,2.44238,6.84435,3.86048,2.57306,0.00205,0.84211,0.01004,0.00291,0.00154,0.63158,0.00479,0.00076,2.06424,4.94211,4.06476,2.6456,0.00016,0.00016,0.00016
2,14.8565,2.26314,4.75322,3.56055,2.31669,0.00218,0.89474,0.03112,0.00971,0.00192,0.78947,0.04125,0.0058,2.11694,6.55188,3.95486,2.55436,0.000338878,0.000338878,0.000338878
3,19.2829,1.83119,3.767,3.42156,2.01353,0.00232,0.94737,0.05282,0.01588,0.0018,0.73684,0.01947,0.00221,1.96458,8.59297,3.77154,2.73636,0.000516568,0.000516568,0.000516568
4,23.7852,1.71705,3.35159,2.87136,1.77735,0.00244,1,0.44051,0.16994,0.00077,0.31579,0.02105,0.00872,1.74097,12.2405,3.60755,2.34325,0.00069307,0.00069307,0.00069307
5,28.1919,1.81764,3.30578,2.62808,1.77436,0.33186,0.26316,0.26252,0.08483,0.12617,0.10526,0.02169,0.00232,2.1539,19.8732,3.6037,3.12149,0.000868384,0.000868384,0.000868384
6,32.6841,1.74646,3.06688,2.47167,1.72366,0.61745,0.42105,0.41894,0.17958,0.91194,0.10526,0.12325,0.01427,2.01215,12.7605,3.1709,3.12975,0.00104251,0.00104251,0.00104251
7,37.0986,1.76566,3.17951,2.4962,1.70691,0.55179,0.26316,0.30099,0.10906,0.24537,0.15789,0.13657,0.03049,1.94157,8.29241,3.65902,3.23949,0.00121545,0.00121545,0.00121545
8,41.7025,1.74547,3.01378,2.19208,1.69303,0.22665,0.42105,0.24061,0.09462,0.08935,0.15789,0.02479,0.00481,2.16605,17.9645,4.24031,3.22364,0.0013872,0.0013872,0.0013872
9,46.486,1.83914,3.00691,2.24117,1.76867,0.04119,0.42105,0.03126,0.01144,0.03077,0.26316,0.01263,0.0026,2.20548,10.9645,9.38181,2.97645,0.00155776,0.00155776,0.00155776
10,51.3785,1.79212,2.88775,2.26097,1.73331,0.00569,0.36842,0.00586,0.00201,0.00408,0.26316,0.00178,0.00035,2.51294,23.4499,68.5973,5.16972,0.00172713,0.00172713,0.00172713
11,55.7401,1.71148,2.77708,2.06889,1.66157,0.2941,0.31579,0.32832,0.16856,0.19649,0.21053,0.16881,0.05642,2.04751,9.41599,3.1933,2.32685,0.00189532,0.00189532,0.00189532
