epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,159.835,1.42544,2.24895,1.32077,1.40855,0.87456,0.89474,0.92687,0.4122,0.94348,0.87916,0.94165,0.38557,1.7087,3.07504,1.32856,1.84047,0.0014258,0.0014258,0.0014258
31,164.394,1.46479,2.20645,1.32102,1.46996,0.80653,0.94737,0.92581,0.48242,0.82214,0.57895,0.70635,0.25599,1.55683,5.5794,1.33125,1.61025,0.001406,0.001406,0.001406
32,168.956,1.42665,2.09609,1.37065,1.44588,0.68482,0.73684,0.70942,0.38162,0.7426,0.45654,0.54156,0.26163,1.6746,4.46934,1.58399,1.80027,0.0013862,0.0013862,0.0013862
33,173.765,1.36338,2.1301,1.2564,1.40836,0.71337,0.78947,0.81644,0.4443,0.76915,0.57895,0.6284,0.29132,1.63762,4.31861,1.33427,1.79868,0.0013664,0.0013664,0.0013664
34,178.687,1.34882,2.17515,1.25982,1.3945,0.60897,0.84211,0.79404,0.40403,0.60897,0.84211,0.77125,0.37708,1.76198,2.85976,1.36607,1.86807,0.0013466,0.0013466,0.0013466
35,183.234,1.40801,1.95959,1.25565,1.44653,0.83199,0.68421,0.81429,0.40472,0.83199,0.68421,0.80458,0.40552,1.74871,2.68674,1.23274,1.84086,0.0013268,0.0013268,0.0013268
36,187.987,1.34489,2.0791,1.23918,1.37923,0.83415,0.73684,0.76205,0.35608,0.77696,0.68421,0.66189,0.27282,1.67858,3.92219,1.69368,1.76093,0.001307,0.001307,0.001307
37,192.582,1.34501,2.16443,1.22068,1.39683,0.70144,0.74213,0.80273,0.36405,0.81621,0.57895,0.65288,0.25099,1.62782,4.36115,1.57081,1.89311,0.0012872,0.0012872,0.0012872
38,197.092,1.35352,2.13317,1.21296,1.41118,0.87587,0.63158,0.75885,0.39274,0.87587,0.63158,0.70067,0.27936,1.60146,3.52058,1.50666,1.84523,0.0012674,0.0012674,0.0012674
39,201.973,1.3652,2.16914,1.26051,1.39171,0.79455,0.52632,0.64276,0.33885,0.59321,0.63158,0.61124,0.25112,1.88148,3.21774,1.67395,2.10847,0.0012476,0.0012476,0.0012476
40,206.556,1.30742,2.19255,1.14547,1.34665,0.49626,0.63158,0.62606,0.31924,0.49626,0.63158,0.61095,0.22622,1.74145,3.36656,1.68637,1.84612,0.0012278,0.0012278,0.0012278
41,210.945,1.17264,1.9484,1.02381,1.2882,0.66669,0.68421,0.74697,0.38243,0.76983,0.78947,0.82354,0.3526,1.73887,2.85671,1.36129,1.85372,0.001208,0.001208,0.001208
42,215.687,1.26508,2.0935,1.08868,1.33531,0.8812,0.78125,0.85708,0.44064,1,0.88574,0.90784,0.43866,1.75775,3.09221,1.12035,1.8928,0.0011882,0.0011882,0.0011882
43,220.584,1.2591,2.00629,1.09313,1.31477,0.83036,0.68421,0.83891,0.47747,0.97025,0.78947,0.90195,0.426,1.64135,3.26521,1.13117,1.72675,0.0011684,0.0011684,0.0011684
44,225.371,1.28074,1.99455,1.12913,1.30999,0.83951,0.82656,0.83758,0.4586,0.83951,0.82656,0.80195,0.39227,1.73856,2.73178,1.10178,1.91165,0.0011486,0.0011486,0.0011486
45,229.937,1.24479,1.94935,1.10102,1.33475,0.83868,0.82156,0.83274,0.46018,0.94617,0.92577,0.94117,0.39886,1.528,2.7088,0.93861,1.77173,0.0011288,0.0011288,0.0011288
46,234.667,1.21663,1.92203,1.02584,1.32163,0.87295,0.72392,0.7478,0.37205,0.93562,0.76576,0.80557,0.32054,1.71299,3.30081,1.05542,1.83461,0.001109,0.001109,0.001109
47,239.448,1.24936,1.91276,1.01115,1.3341,0.86483,0.78947,0.78115,0.39763,0.92349,0.84211,0.83031,0.31602,1.79421,3.6328,1.11001,1.88334,0.0010892,0.0010892,0.0010892
48,244.266,1.2986,2.01881,1.22048,1.36939,0.70897,0.73684,0.82356,0.45506,0.81548,0.84211,0.90602,0.38763,1.55136,3.11547,1.04303,1.71405,0.0010694,0.0010694,0.0010694
49,249.124,1.26163,2.01431,1.02377,1.33589,0.65762,0.68421,0.7477,0.40861,0.74162,0.78947,0.83043,0.36726,1.66263,3.07156,1.10271,1.75672,0.0010496,0.0010496,0.0010496
50,253.696,1.21733,1.97018,1.07115,1.30259,0.77098,0.89474,0.88442,0.52547,0.82138,0.94737,0.92151,0.41607,1.45964,2.66515,0.97223,1.59951,0.0010298,0.0010298,0.0010298
51,258.243,1.28321,1.91383,1.12677,1.31974,0.80461,0.94737,0.90849,0.49176,0.88477,0.94737,0.97019,0.43465,1.57085,2.39208,0.92348,1.73562,0.00101,0.00101,0.00101
52,262.767,1.17373,1.96253,1.04057,1.30646,0.83534,0.89474,0.83303,0.45338,0.88448,0.94737,0.96718,0.43663,1.57488,2.35534,0.97529,1.67932,0.0009902,0.0009902,0.0009902
53,267.301,1.16755,1.93416,1.01525,1.25946,0.82855,0.84211,0.85789,0.47335,0.93244,0.94737,0.98555,0.4884,1.51773,2.2893,0.96778,1.69044,0.0009704,0.0009704,0.0009704
54,272.047,1.14337,1.90028,0.92917,1.23942,0.83261,0.78562,0.80714,0.49547,0.94402,0.88798,0.94752,0.46388,1.30601,2.35775,0.96263,1.51113,0.0009506,0.0009506,0.0009506
55,276.612,1.13698,1.9174,0.96631,1.27774,0.81456,0.78947,0.84285,0.5079,0.93086,0.89474,0.91337,0.47176,1.29298,2.53634,1.00659,1.4688,0.0009308,0.0009308,0.0009308
56,281.108,1.16633,1.83646,0.92158,1.26578,0.83585,0.84211,0.86228,0.49497,0.7821,0.78947,0.80209,0.35012,1.41286,3.25022,0.96644,1.5535,0.000911,0.000911,0.000911
57,285.843,1.17332,1.78175,0.93563,1.27178,0.84787,0.8805,0.90723,0.54016,0.84787,0.8805,0.89032,0.41645,1.28355,2.82222,0.96854,1.50876,0.0008912,0.0008912,0.0008912
58,290.534,1.12329,1.75365,0.92501,1.26278,0.63103,0.84211,0.77721,0.44689,0.76314,0.73684,0.78851,0.39377,1.43591,2.64026,1.06144,1.59106,0.0008714,0.0008714,0.0008714
